"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que a página do Changelog é acessível diretamente pelo URL","7672","testAcessoDiretoChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","testAcessoDiretoChangelog"
"Verifica que os pacotes mínimo e máximo estão presentes com os preços corretos","15857","testGamaPacotesCompleta()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","testGamaPacotesCompleta"
"Verifica que o link gerado após criar o torneio tem conteúdo","39035","testLinkTorneioNaoVazio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","testLinkTorneioNaoVazio"
"","8267","testAbrirPagina()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory3Test","iscteiul.ista.blackbattleship.UserStory3Test","testAbrirPagina"
"","28302","testTituloPaginaTorneio()","","2026-05-17","broken","2026-05-17","","iscteiul.ista.blackbattleship.UserStory48Test","iscteiul.ista.blackbattleship.UserStory48Test","testTituloPaginaTorneio"
"","8982","testLinkPrivacyVisivel()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory78Test","iscteiul.ista.blackbattleship.UserStory78Test","testLinkPrivacyVisivel"
"","10567","testPaginaAbreCorretamente()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory17Test","iscteiul.ista.blackbattleship.UserStory17Test","testPaginaAbreCorretamente"
"Verifica que o URL contém '/t/create-tournament' após clicar em criar torneio","24833","testAcessoFormularioCriacaoTorneio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","testAcessoFormularioCriacaoTorneio"
"","11077","testAcessoDiretoChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory77Test","iscteiul.ista.blackbattleship.UserStory77Test","testAcessoDiretoChangelog"
"","9304","testAbrirPagina()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory2Test","iscteiul.ista.blackbattleship.UserStory2Test","testAbrirPagina"
"Verifica que o pacote mínimo custa USD 1 e o máximo USD 99","14638","testPrecosPacotesExtremos()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","testPrecosPacotesExtremos"
"Verifica que a página Battleship abre e o URL contém 'battleship'","8774","testAbrirPagina()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","testAbrirPagina"
"","14717","testPrecosPacotesExtremos()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory39Test","iscteiul.ista.blackbattleship.UserStory39Test","testPrecosPacotesExtremos"
"Verifica que o h1 com id='changelog' contém exatamente o texto 'Changelog'","7237","testTituloPaginaChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","testTituloPaginaChangelog"
"","13330","testGamaPacotesCompleta()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory39Test","iscteiul.ista.blackbattleship.UserStory39Test","testGamaPacotesCompleta"
"Fluxo completo: Shop → Coins → login → popup de pagamento Xsolla","41387","testComprarMoedasVirtuaisCompleto()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","testComprarMoedasVirtuaisCompleto"
"","37657","testCriarTorneioCompleto()","","2026-05-17","broken","2026-05-17","","iscteiul.ista.blackbattleship.UserStory48Test","iscteiul.ista.blackbattleship.UserStory48Test","testCriarTorneioCompleto"
"","11992","testNavegacaoParaPrivacyPolicy()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory78Test","iscteiul.ista.blackbattleship.UserStory78Test","testNavegacaoParaPrivacyPolicy"
"Clica no link Changelog no menu e verifica título e versões listadas","24762","testConsultarChangelogViaNavegacao()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","testConsultarChangelogViaNavegacao"
"","7738","testTituloPaginaChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory77Test","iscteiul.ista.blackbattleship.UserStory77Test","testTituloPaginaChangelog"
"","18510","testFluxoCompletoPlayVsRobot()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory2Test","iscteiul.ista.blackbattleship.UserStory2Test","testFluxoCompletoPlayVsRobot"
"","7797","testClicarJogadorLeaderboard()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory25Test","iscteiul.ista.blackbattleship.UserStory25Test","testClicarJogadorLeaderboard"
"Fluxo completo: abrir página, criar sala, gerar e copiar URL partilhável","27360","testGerarUrlPartilhavel()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","testGerarUrlPartilhavel"
"","24124","testAcessoFormularioCriacaoTorneio()","","2026-05-17","broken","2026-05-17","","iscteiul.ista.blackbattleship.UserStory48Test","iscteiul.ista.blackbattleship.UserStory48Test","testAcessoFormularioCriacaoTorneio"
"","9327","testClicarPlayVsRobotAbreModal()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory2Test","iscteiul.ista.blackbattleship.UserStory2Test","testClicarPlayVsRobotAbreModal"
"Verifica que existem versões listadas e que o texto da primeira não está vazio","7418","testChangelogContemVersoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory77SelenideTest","testChangelogContemVersoes"
"","12227","testAcessoDiretoLojaCoins()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory39Test","iscteiul.ista.blackbattleship.UserStory39Test","testAcessoDiretoLojaCoins"
"","26579","testUrlPartilhavelNaoVazio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory3Test","iscteiul.ista.blackbattleship.UserStory3Test","testUrlPartilhavelNaoVazio"
"","73451","testLinkTorneioNaoVazio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory48Test","iscteiul.ista.blackbattleship.UserStory48Test","testLinkTorneioNaoVazio"
"Verifica que o título da página do torneio coincide com o nome inserido","39957","testTituloPaginaTorneio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","testTituloPaginaTorneio"
"","10641","testPaginaPrivacidadeCarrega()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory78Test","iscteiul.ista.blackbattleship.UserStory78Test","testPaginaPrivacidadeCarrega"
